,project_id,nbr_inquiries,status_deal,inquiry_created_at,total_price,paid_at,budget_day,duration_event_days,nbr_days_before_event,event_type,currency,main_nbr_admin_message,main_nbr_renter_message,main_nbr_lo_message,private_lo_nbr_admin_message,private_lo_nbr_lo_message,private_renter_nbr_admin_message,private_renter_nbr_renter_message
0,a0E1p00000j2rPJEAY,5,success,2018-04-04 04:08:19,5760.0,2018-04-14 03:29:18.852,160.0,36.0,55.0,Pop-Up Store,USD,1.0,26.0,28.0,11.0,10.0,0.0,0.0
1,a0E1p00000j2rkqEAA,2,failed,2018-05-03 14:47:31,13680.0,,2736.0,5.0,52.5,Fashion Showroom,EUR,3.0,2.5,3.5,3.5,2.5,0.0,0.0
2,a0E1p00000j2vRuEAI,1,failed,2018-01-04 08:25:40,868.0,,868.0,1.0,79.0,Corporate Event,EUR,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,a0E1p00000j2w7WEAQ,1,failed,2018-01-03 18:05:24,3100.0,,106.89655172413794,29.0,21.0,Pop-Up Store,EUR,0.0,3.0,3.0,0.0,0.0,0.0,0.0
4,a0E1p00000j2wrbEAA,1,failed,2018-01-22 04:55:38,425.14,,53.1425,8.0,301.0,Art Opening,GBP,0.0,6.0,4.0,0.0,0.0,0.0,0.0
5,a0E1p00000j2zK6EAI,1,success,2018-02-07 12:07:58,2592.0,2018-02-09 10:12:33.999,864.0,3.0,86.0,Pop-Up Store,EUR,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,a0E1p00000j3gquEAA,1,success,2018-01-10 02:35:10,1800.0,2018-01-10 16:20:01.74,600.0,3.0,12.0,Fashion Showroom,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,a0E1p00000j3p47EAA,1,failed,2018-01-11 22:19:07,6000.0,,3000.0,2.0,112.0,Product Launch,USD,0.0,2.0,4.0,0.0,0.0,0.0,0.0
8,a0E1p00000j3uQbEAI,1,success,2018-02-01 05:00:21,540.0,2018-02-02 16:52:51.911,135.0,4.0,15.0,Pop-Up Store,USD,0.0,4.0,1.0,0.0,0.0,0.0,0.0
9,a0E1p00000j3wipEAA,4,failed,2018-01-22 12:19:58,11844.339999999998,,215.35163636363635,55.0,74.75,Fashion Showroom,GBP,2.0,3.25,3.5,0.75,0.5,0.0,0.0
10,a0E1p00000j3x3IEAQ,1,failed,2018-01-06 16:54:32,9600.0,,2400.0,4.0,96.0,Private Sale,USD,0.0,2.0,4.0,0.0,0.0,0.0,0.0
11,a0E1p00000j3z8HEAQ,3,failed,2018-06-12 15:35:16,37771.426666666666,,3777.1426666666666,10.0,47.666666666666664,Pop-Up Store,USD,1.3333333333333333,2.3333333333333335,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12,a0E1p00000j44vVEAQ,1,failed,2018-05-17 16:17:25,840.0,,420.0,2.0,8.0,Private Sale,USD,0.0,3.0,3.0,0.0,0.0,0.0,0.0
13,a0E1p00000j44wjEAA,1,failed,2018-01-05 02:57:04,1440.0,,1440.0,1.0,119.0,Art Opening,USD,0.0,2.0,3.0,0.0,0.0,0.0,0.0
14,a0E1p00000j46MZEAY,1,failed,2018-01-09 12:49:29,4546.27,,267.42764705882354,17.0,65.0,Pop-Up Store,EUR,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,a0E1p00000j46ShEAI,4,failed,2018-03-14 03:05:41,1083.0,,481.3333333333333,2.25,59.5,Pop-Up Store,USD,0.0,2.0,2.5,0.0,0.0,0.0,0.0
16,a0E1p00000jxHACEA2,1,failed,2018-01-17 22:00:08,576.0,,82.28571428571429,7.0,96.0,Product Launch,EUR,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,a0E1p00000jxIdLEAU,1,success,2018-01-22 23:03:00,3600.0,2018-01-23 08:18:46.452,514.2857142857143,7.0,21.0,Fashion Showroom,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,a0E1p00000jxJcVEAU,5,success,2018-02-13 10:07:29,288.0,2018-02-20 14:20:15.967,288.0,1.0,0.0,Art Opening,EUR,2.0,7.0,4.0,0.0,0.0,0.0,0.0
19,a0E1p00000jxJkfEAE,1,failed,2018-01-10 22:21:19,216.0,,216.0,1.0,73.0,Product Launch,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,a0E1p00000jxKKyEAM,8,failed,2018-02-05 10:22:43,1973.0,,607.0769230769231,3.25,126.125,Pop-Up Store,EUR,0.75,2.375,2.0,0.0,0.0,0.0,0.0
21,a0E1p00000jxKemEAE,1,failed,2018-01-12 03:54:04,96.0,,96.0,1.0,92.0,Corporate Event,USD,0.0,1.0,2.0,0.0,0.0,0.0,0.0
22,a0E1p00000jxLX8EAM,3,failed,2018-01-02 11:23:43,1704.0,,464.72727272727275,3.6666666666666665,65.0,Pop-Up Store,EUR,0.0,2.6666666666666665,3.0,0.0,0.0,0.0,0.0
23,a0E1p00000jxLqpEAE,1,failed,2018-01-02 18:20:22,18000.0,,200.0,90.0,76.0,Pop-Up Store,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
